"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.10.3","192.168.10.1","TCP","74","50200  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44562113 TSecr=0 WS=128"
"2","2.015961492","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50200  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44564129 TSecr=0 WS=128"
"3","3.984810877","192.168.10.3","192.168.10.1","DNS","107","Standard query 0x6640 A incoming.telemetry.mozilla.org.mail.redmail.com"
"4","3.985075223","192.168.10.3","192.168.10.1","DNS","114","Standard query 0x5df2 A firefox.settings.services.mozilla.com.mail.redmail.com"
"5","3.985588888","192.168.10.3","192.168.10.1","TCP","78","50202  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44566099 TSecr=0 WS=128 TFO=R"
"6","4.096202004","VMware_5e:72:a2","VMware_71:a8:f0","ARP","60","Who has 192.168.10.1? Tell 192.168.10.3"
"7","4.096792536","VMware_71:a8:f0","VMware_5e:72:a2","ARP","60","192.168.10.1 is at 00:0c:29:71:a8:f0"
"8","4.493526014","192.168.10.3","192.168.10.1","DHCP","326","DHCP Request  - Transaction ID 0xabb87aa0"
"9","4.494560879","192.168.10.1","192.168.10.3","DHCP","342","DHCP ACK      - Transaction ID 0xabb87aa0"
"10","4.992397201","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50202  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44567106 TSecr=0 WS=128"
"11","6.144242104","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50200  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44568257 TSecr=0 WS=128"
"12","7.008759714","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50202  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44569121 TSecr=0 WS=128"
"13","8.989804262","192.168.10.3","192.168.10.1","TCP","78","50204  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44571103 TSecr=0 WS=128 TFO=R"
"14","9.610184442","VMware_71:a8:f0","VMware_5e:72:a2","ARP","60","Who has 192.168.10.3? Tell 192.168.10.1"
"15","9.610913592","VMware_5e:72:a2","VMware_71:a8:f0","ARP","60","192.168.10.3 is at 00:0c:29:5e:72:a2"
"16","10.016038644","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50204  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44572129 TSecr=0 WS=128"
"17","11.264174507","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50202  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44573377 TSecr=0 WS=128"
"18","12.032808486","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50204  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44574146 TSecr=0 WS=128"
"19","13.996355566","192.168.10.3","192.168.10.1","DNS","97","Standard query 0x9f91 A firefox.settings.services.mozilla.com"
"20","16.128982753","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50204  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44578242 TSecr=0 WS=128"
"21","19.001985517","192.168.10.3","192.168.10.1","DNS","97","Standard query 0x9f91 A firefox.settings.services.mozilla.com"
"22","19.002736686","192.168.10.3","192.168.10.1","DNS","97","Standard query 0x67fb AAAA firefox.settings.services.mozilla.com"
"23","20.886162751","192.168.10.3","192.168.10.1","TCP","74","38576  >  5566 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44582998 TSecr=0 WS=128"
"24","21.888679317","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 38576  >  5566 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44584001 TSecr=0 WS=128"
"25","23.905182397","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 38576  >  5566 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44586017 TSecr=0 WS=128"
"26","24.006170484","192.168.10.3","192.168.10.1","DNS","97","Standard query 0x67fb AAAA firefox.settings.services.mozilla.com"
"27","24.006645448","192.168.10.3","192.168.10.1","TCP","78","50206  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44586119 TSecr=0 WS=128 TFO=R"
"28","25.025828076","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50206  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44587137 TSecr=0 WS=128"
"29","27.042052239","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50206  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44589154 TSecr=0 WS=128"
"30","28.161010847","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 38576  >  5566 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44590273 TSecr=0 WS=128"
"31","28.929443001","VMware_5e:72:a2","VMware_71:a8:f0","ARP","60","Who has 192.168.10.1? Tell 192.168.10.3"
"32","28.930245704","VMware_71:a8:f0","VMware_5e:72:a2","ARP","60","192.168.10.1 is at 00:0c:29:71:a8:f0"
"33","29.011654231","192.168.10.3","192.168.10.1","TCP","78","50208  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44591124 TSecr=0 WS=128 TFO=R"
"34","30.017374060","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50208  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44592129 TSecr=0 WS=128"
